_id,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD_NAME,X,Y,LONGITUDE,LATITUDE,MI_PRINX,OBJECTID,CAPACITY,MULTIMODAL,SEASONAL,SHELTERED,SURFACE,STATUS,LOCATION,NOTES,MAP_CLASS,geometry
5984,14235368,661,University Ave,661 University Ave,M5G 1M1,former TORONTO,Toronto,7792702,661,,,,4583,University-Rosedale (1111),,,,,2841260,200,5,No,No,,pavers,Proposed,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.3895475175, 43.6594471708)}"
5985,7792705,671,University Ave,671 University Ave,,former TORONTO,Toronto,7792702,671,,,,4583,University-Rosedale (1111),,,,,2981787,201,8,Yes,No,,concrete,Proposed,north side: TTC,,Multi-Bike Rack,"{u'type': u'Point', u'coordinates': (-79.3900712068, 43.659804561)}"
5986,7570903,962,Queen St W,962 Queen St W,M6J 1G8,former TORONTO,Toronto,7570894,962,,,,4238,Spadina-Fort York (1010),,,,,3038700,202,5,No,No,,concrete,Installed,front of walk,,Multi-Bike Rack (Angled),"{u'type': u'Point', u'coordinates': (-79.4172248355, 43.6447596251)}"
5987,20068494,1151,Queen St W,1151 Queen St W,M6J 1J4,former TORONTO,Toronto,7553178,1151,,,,4238,Davenport (909),,,,,2549364,203,14,No,Yes,No,,Installed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4245496133, 43.6428738482)}"
5988,7792447,171,Dundas St W,171 Dundas St W,M5G 1C7,former TORONTO,Toronto,7792444,171,,,,558,Spadina-Fort York (1010),,,,,2522240,204,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3861942983, 43.6550653012)}"
5989,30012845,245,Wallace Ave,245 Wallace Ave,M6H 1V5,former TORONTO,Toronto,14013655,245,,,,4617,Davenport (909),,,,,3813655,205,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4465561733, 43.6617243418)}"
5990,7641780,251,Victoria St,251 Victoria St,M5B 1T8,former TORONTO,Toronto,7641770,251,,,,9790,Toronto Centre (1313),,,,,2062125,206,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3790506572, 43.6558045563)}"
5991,9942213,268,College St,268 College St,M5T 1S1,former TORONTO,Toronto,14022731,268,,,,9765,University-Rosedale (1111),,,,,3298560,207,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4005149554, 43.6581487248)}"
5992,10222743,325,King St W,325 King St W,M5V 1J5,former TORONTO,Toronto,10222742,325,,,,3780,Spadina-Fort York (1010),,,,,2364947,208,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.391023464, 43.6461386323)}"
5993,7929471,360,Bay St,360 Bay St,M5H 2V6,former TORONTO,Toronto,7929469,360,,,,2962,Spadina-Fort York (1010),,,,,2024744,209,28,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3814390312, 43.6507248479)}"
5994,10223672,455,King St W,455 King St W,M5V 1K4,former TORONTO,Toronto,10223667,455,,,,3780,Spadina-Fort York (1010),,,,,2896822,210,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3960200183, 43.6449926684)}"
5995,828038,50,King St E,50 King St E,M5C 1E5,former TORONTO,Toronto,1145520,50,,,,3779,Toronto Centre (1313),,,,,3006364,211,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3762416345, 43.6497660862)}"
5996,30043514,58,Macaulay Ave,58 Macaulay Ave,M6P 3P6,former TORONTO,Toronto,30043036,58,,,,20848,Davenport (909),,,,,4318570,212,14,No,Yes,No,,Proposed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4533262142, 43.6614331515)}"
5997,7846349,76,Kensington Ave,76 Kensington Ave,M5T 2K1,former TORONTO,Toronto,7846321,76,,,,9813,University-Rosedale (1111),,,,,2754723,213,14,No,Yes,No,,Installed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.4009240054, 43.6545455602)}"
5998,7792706,700,University Ave,700 University Ave,M5G 1X7,former TORONTO,Toronto,7792702,700,,,,4583,University-Rosedale (1111),,,,,2429229,214,14,No,Yes,,,Installed,,,Bike Corral,"{u'type': u'Point', u'coordinates': (-79.3911880758, 43.6590077232)}"
